level,name,novelty_factor
genus,Salpingoecidae_Group_C1_X,74.0
genus,Phaeodactylum,15.0
genus,Leptomonas,26.5
genus,Vannella,56.0
genus,Monothalamids_X.U.genus,253.5
genus,Sarcocystis10,76.0
genus,Mitosporidium,9.0
genus,Culiseta,3.0
genus,Lecidea,1.5
genus,Trichocladium,12.5
genus,Hyphodiscus,0.5
genus,Tubulinea_X.U.genus,121.0
genus,Tubulinea.U.genus,2.0
genus,Ustanciosporium,69.0
genus,Psora,5.0
genus,Mastigamoeba,1609.0
genus,Paulinella,17.0
genus,Limulus,36.0
genus,Acartia,4.0
genus,Ricinus,6.5
genus,Saprolegnia,2.5
genus,Philaenus,5.0
genus,Mayetiola,2.0
genus,Neobodonida.U.genus,221.0
genus,Tubulinea_XXXXX,7.0
genus,Spizellomyces,26.0
genus,Spumella,6.0
genus,Stylonychia,800.0
genus,Chydorus,12.0
genus,Isaria,64.0
genus,Hexamita,32.0
genus,Aphelidium,12.0
genus,Pelobiontida.U.genus,2.0
genus,Simocephalus,1.0
genus,Gregarinidae.U.genus,27.0
genus,Rehmannia,160.0
genus,Tuckermannopsis,1.0
genus,Raphidocelis,2.0
genus,Neovahlkampfia,211.0
genus,Paramicrosporidium,2.0
genus,Bodo,10.0
genus,Gregarina3,27.0
genus,Aculops,5.0
genus,Neogregarinorida.U.genus,5.0
genus,Polychytrium,5.0
genus,Sabatieria,16.0
genus,Tilletiopsis,8.0
genus,Ichthyophthirius,19.0
genus,Leidyana2,73.0
genus,Leidyana1,3.0
genus,Articulospora,19.0
genus,Pycnora,46.0
genus,Neofabraea,3.0
genus,Tectonidula,3.0
genus,Thamnocephalis,3.0
genus,Coniophora,2.0
genus,Labyrinthula,62.0
genus,Embryophyceae_XX.U.genus,inf
genus,Gyrista.U.genus,inf
genus,Dino-Group-II.U.genus,inf
genus,Flectomonas,inf
genus,Dino-Group-II-Clade-7_X,inf
genus,TSAR.U.genus,inf
genus,Trachelomonas,inf
genus,Pentapharsodinium,inf
genus,Petalomonadida.U.genus,inf
genus,Dino-Group-II-Clade-10-and-11_X,inf
genus,Polycystinea.U.genus,inf
genus,Archaeplastida.U.genus,inf
genus,Craniata_X.U.genus,inf
genus,Vampyrellida.U.genus,inf
genus,Dino-Group-II-Clade-6_X,inf
genus,Saccamoeba,inf
genus,Radiolaria.U.genus,inf
genus,Dileptidae_X,inf
genus,Drosophila,inf
genus,Nassellaria.U.genus,inf
genus,Acantharea_3a_X,inf
genus,Dino-Group-I.U.genus,inf
genus,Flamellidae.U.genus,inf
genus,Dino-Group-I-Clade-5_X,inf
genus,Eupetalomonads_XX,inf
genus,Phyllopharyngea.U.genus,inf
genus,Dino-Group-I-Clade-4_X,inf
genus,WIM80-lineage_X,inf
