file,domain,taxon,rank,seq_count,avg_length,min_length,max_length,priority,expected_otu,lineage,genera_count
037_Oscillospiraceae_family.fna,bacteria,Oscillospiraceae,family,8030,1401.1,1200,1840,147.64,5250,Bacillota > Clostridia > Eubacteriales,28
038_Chromatiales_order.fna,bacteria,Chromatiales,order,419,1458.1,1200,1715,147.35,567,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,35
039_Myxococcota_phylum.fna,bacteria,Myxococcota,phylum,545,1465.4,1233,1873,142.45,3526,root > Bacteria > Pseudomonadati,28
040_Desulfobacterales_order.fna,bacteria,Desulfobacterales,order,3706,1467.5,1200,1748,138.34,1370,Pseudomonadati > Thermodesulfobacteriota > Desulfobacteria,25
041_Peptostreptococcales_order.fna,bacteria,Peptostreptococcales,order,648,1426.1,1204,2891,115.65,1262,Bacillati > Bacillota > Clostridia,30
042_Nostocales_order.fna,bacteria,Nostocales,order,197,1467.1,1201,2077,113.26,227,Cyanobacteriota/Melainabacteria group > Cyanobacteriota > Cyanophyceae,28
043_Negativicutes_class.fna,bacteria,Negativicutes,class,1143,1454.2,1210,1781,109.12,1429,Bacteria > Bacillati > Bacillota,27
044_Lactobacillales_order.fna,bacteria,Lactobacillales,order,2726,1430.0,1200,3469,108.43,3047,Bacillati > Bacillota > Bacilli,30
045_Halobacteriales_order.fna,archaea,Halobacteriales,order,634,1279.2,900,1637,106.49,745,Methanobacteriota > Stenosarchaea group > Halobacteria,37
046_Campylobacterota_phylum.fna,bacteria,Campylobacterota,phylum,1135,1437.1,1201,1712,95.35,1917,root > Bacteria > Pseudomonadati,20
047_Micrococcales_order.fna,bacteria,Micrococcales,order,338,1425.2,1200,3032,95.09,459,Bacillati > Actinomycetota > Actinomycetes,31
048_Oceanospirillales_order.fna,bacteria,Oceanospirillales,order,787,1427.3,1202,2826,93.73,1066,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,28
049_Lysobacterales_order.fna,bacteria,Lysobacterales,order,681,1461.0,1204,1729,93.24,927,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,21
050_Nitrosomonadales_order.fna,bacteria,Nitrosomonadales,order,632,1460.3,1201,1651,93.07,1609,Pseudomonadati > Pseudomonadota > Betaproteobacteria,21
051_Marinilabiliales_order.fna,bacteria,Marinilabiliales,order,783,1430.0,1202,1544,89.64,1336,Bacteroidota/Chlorobiota group > Bacteroidota > Bacteroidia,18
052_Spirochaetota_phylum.fna,bacteria,Spirochaetota,phylum,1883,1431.0,1201,3281,87.19,3341,root > Bacteria > Pseudomonadati,15
053_Tissierellia_class.fna,bacteria,Tissierellia,class,2138,1421.1,1204,2891,86.67,905,Bacteria > Bacillati > Bacillota,21
054_Anaerolineae_class.fna,bacteria,Anaerolineae,class,2764,1401.1,1200,1588,79.58,5369,Bacteria > Bacillati > Chloroflexota,11
055_Blastocatellia_class.fna,bacteria,Blastocatellia,class,268,1447.9,1200,1552,78.86,1441,Bacteria > Pseudomonadati > Acidobacteriota,9
056_Thermoproteota_phylum.fna,archaea,Thermoproteota,phylum,153,1234.1,900,2211,77.76,400,root > Archaea > Thermoproteati,22
057_Epsilonproteobacteria_class.fna,bacteria,Epsilonproteobacteria,class,1122,1436.1,1201,1549,77.48,1866,Bacteria > Pseudomonadati > Campylobacterota,17
058_Cellvibrionales_order.fna,bacteria,Cellvibrionales,order,418,1460.7,1200,2271,76.27,826,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,25
