LABELS
SEPARATOR TAB
DATA
Bacteria_D	Bacteria (D)
Archangium_G	Archangium (G) NF=1.1
Cystobacter_G	Cystobacter (G) NF=2.0
Hyalangium_G	Hyalangium (G) NF=0.4
Stigmatella_G	Stigmatella (G) NF=1.5
Melittangium_G	Melittangium (G) NF=3.0
Vitiosangium_G	Vitiosangium (G) NF=5.0
Vulgatibacteraceae_F	Vulgatibacteraceae (F) NF=10.0
Vulgatibacter_G	Vulgatibacter (G) NF=15.0
Nitrospirota_P	Nitrospirota (P) NF=5.3
Nitrospiria_C	Nitrospiria (C)
Nitrospirales_O	Nitrospirales (O)
Nitrospiraceae_F	Nitrospiraceae (F) NF=5.2
Leptospirillum_G	Leptospirillum (G) NF=13.8
Thermodesulfovibrionia_C	Thermodesulfovibrionia (C)
Thermodesulfovibrionales_O	Thermodesulfovibrionales (O)
Thermodesulfovibrionaceae_F	Thermodesulfovibrionaceae (F) NF=3.5
Thermodesulfovibrio_G	Thermodesulfovibrio (G) NF=3.8
Bdellovibrionota_P	Bdellovibrionota (P) NF=10.7
Bdellovibrionia_C	Bdellovibrionia (C)
Bdellovibrionales_O	Bdellovibrionales (O)
Pseudobdellovibrionaceae_F	Pseudobdellovibrionaceae (F) NF=4.5
Micavibrio_G	Micavibrio (G) NF=0.0
Bdellovibrio_G	Bdellovibrio (G) NF=14.3
Bacteriovoracia_C	Bacteriovoracia (C)
Bacteriovoracales_O	Bacteriovoracales (O)
Bacteriovoracaceae_F	Bacteriovoracaceae (F) NF=10.3
Bacteriovorax_G	Bacteriovorax (G) NF=8.6
Peredibacter_G	Peredibacter (G) NF=85.7
Halobacteriovoraceae_F	Halobacteriovoraceae (F) NF=0.8
Halobacteriovorax_G	Halobacteriovorax (G) NF=0.8
Oligoflexia_C	Oligoflexia (C)
Silvanigrellales_O	Silvanigrellales (O)
Silvanigrellaceae_F	Silvanigrellaceae (F) NF=8.4
Silvanigrella_G	Silvanigrella (G) NF=8.5
Silvanigrellales_incertae_sedis_N	Silvanigrellales incertae sedis (N)
Spirobacillus_G	Spirobacillus (G) NF=2.0
Oligoflexales_O	Oligoflexales (O)
Oligoflexaceae_F	Oligoflexaceae (F) NF=74.8
Oligoflexus_G	Oligoflexus (G) NF=7.3
Pseudobacteriovoracaceae_F	Pseudobacteriovoracaceae (F) NF=5.5
Pseudobacteriovorax_G	Pseudobacteriovorax (G) NF=5.5
Elusimicrobiota_P	Elusimicrobiota (P) NF=4.4
Elusimicrobia_C	Elusimicrobia (C)
Elusimicrobiales_O	Elusimicrobiales (O)
Elusimicrobiaceae_F	Elusimicrobiaceae (F) NF=2.0
Elusimicrobium_G	Elusimicrobium (G) NF=7.0
Endomicrobiia_C	Endomicrobiia (C)
Endomicrobiales_O	Endomicrobiales (O)
Endomicrobiaceae_F	Endomicrobiaceae (F) NF=3.5
Endomicrobium_G	Endomicrobium (G) NF=17.1
Deferribacterota_P	Deferribacterota (P) NF=2.7
Deferribacteres_C	Deferribacteres (C)
Deferribacterales_O	Deferribacterales (O)
Mucispirillaceae_F	Mucispirillaceae (F) NF=4.2
Mucispirillum_G	Mucispirillum (G) NF=5.2
Deferribacteraceae_F	Deferribacteraceae (F) NF=5.9
Deferribacter_G	Deferribacter (G) NF=3.5
Geovibrionaceae_F	Geovibrionaceae (F) NF=1.6
Seleniivibrio_G	Seleniivibrio (G) NF=1.0
Geovibrio_G	Geovibrio (G) NF=1.0
Denitrovibrio_G	Denitrovibrio (G) NF=4.0
Flexistipitaceae_F	Flexistipitaceae (F) NF=2.0
Flexistipes_G	Flexistipes (G) NF=2.0
Calditerrivibrionaceae_F	Calditerrivibrionaceae (F) NF=6.0
Calditerrivibrio_G	Calditerrivibrio (G) NF=6.0
Aquificota_P	Aquificota (P) NF=2.8
Aquificia_C	Aquificia (C)
Aquificales_O	Aquificales (O)
Aquificaceae_F	Aquificaceae (F) NF=2.6
Hydrogenobacter_G	Hydrogenobacter (G) NF=1.8
Aquifex_G	Aquifex (G) NF=2.0
Thermocrinis_G	Thermocrinis (G) NF=2.2
Hydrogenobaculum_G	Hydrogenobaculum (G) NF=3.0
Hydrogenivirga_G	Hydrogenivirga (G) NF=3.0
Hydrogenothermaceae_F	Hydrogenothermaceae (F) NF=3.7
Persephonella_G	Persephonella (G) NF=3.5
Sulfurihydrogenibium_G	Sulfurihydrogenibium (G) NF=3.8
Venenivibrio_G	Venenivibrio (G) NF=9.0
Hydrogenothermus_G	Hydrogenothermus (G) NF=2.0
Desulfurobacteriales_O	Desulfurobacteriales (O)
Desulfurobacteriaceae_F	Desulfurobacteriaceae (F) NF=2.1
Desulfurobacterium_G	Desulfurobacterium (G) NF=1.7
Thermovibrio_G	Thermovibrio (G) NF=3.0
Phorcysia_G	Phorcysia (G) NF=2.0
Balnearium_G	Balnearium (G) NF=4.0
Nitrospinota/Tectimicrobiota_group_C	Nitrospinota/Tectimicrobiota group (C)
Nitrospinota_P	Nitrospinota (P) NF=9.1
Nitrospinia_C	Nitrospinia (C)
Nitrospinales_O	Nitrospinales (O)
Nitrospinaceae_F	Nitrospinaceae (F) NF=13.6
Nitrospina_G	Nitrospina (G) NF=21.6
Thermomicrobiota_P	Thermomicrobiota (P) NF=25.6
Thermomicrobia_C	Thermomicrobia (C)
Thermomicrobiales_O	Thermomicrobiales (O)
Thermomicrobiaceae_F	Thermomicrobiaceae (F) NF=1.4
Thermomicrobium_G	Thermomicrobium (G) NF=1.8
Sphaerobacterales_O	Sphaerobacterales (O)
Sphaerobacteraceae_F	Sphaerobacteraceae (F) NF=7.7
Nitrolancea_G	Nitrolancea (G) NF=17.0
Sphaerobacter_G	Sphaerobacter (G) NF=6.0
Thermomicrobia_incertae_sedis_N	Thermomicrobia incertae sedis (N)
Thermorudis_G	Thermorudis (G) NF=1.0
Calditrichota_P	Calditrichota (P) NF=35.0
Calditrichia_C	Calditrichia (C)
Calditrichales_O	Calditrichales (O)
Calditrichaceae_F	Calditrichaceae (F) NF=66.5
Caldithrix_G	Caldithrix (G) NF=10.2
Atribacterota_P	Atribacterota (P) NF=3.7
Caldisericota/Cryosericota_group_C	Caldisericota/Cryosericota group (C)
Caldisericota_P	Caldisericota (P) NF=5.0
Caldisericia_C	Caldisericia (C)
Caldisericales_O	Caldisericales (O)
Caldisericaceae_F	Caldisericaceae (F) NF=7.0
Caldisericum_G	Caldisericum (G) NF=8.4
Abditibacteriota_P	Abditibacteriota (P) NF=36.7
Abditibacteriia_C	Abditibacteriia (C)
Abditibacteriales_O	Abditibacteriales (O)
Abditibacteriaceae_F	Abditibacteriaceae (F)
Abditibacterium_G	Abditibacterium (G) NF=85.7
Coprothermobacterota_P	Coprothermobacterota (P) NF=9.3
Coprothermobacteria_C	Coprothermobacteria (C)
Coprothermobacterales_O	Coprothermobacterales (O)
Coprothermobacteraceae_F	Coprothermobacteraceae (F) NF=11.2
Coprothermobacter_G	Coprothermobacter (G) NF=14.0
Dictyoglomota_P	Dictyoglomota (P) NF=0.9
Dictyoglomia_C	Dictyoglomia (C)
Dictyoglomales_O	Dictyoglomales (O)
Dictyoglomaceae_F	Dictyoglomaceae (F) NF=1.2
Dictyoglomus_G	Dictyoglomus (G) NF=1.4
Chrysiogenota_P	Chrysiogenota (P) NF=0.8
Chrysiogenia_C	Chrysiogenia (C)
Chrysiogenales_O	Chrysiogenales (O)
Chrysiogenaceae_F	Chrysiogenaceae (F) NF=1.7
Desulfurispirillum_G	Desulfurispirillum (G) NF=2.0
Desulfurispira_G	Desulfurispira (G) NF=1.0
Chrysiogenes_G	Chrysiogenes (G) NF=2.0
Thermodesulfobiota_P	Thermodesulfobiota (P)
Thermodesulfobiia_C	Thermodesulfobiia (C)
Thermodesulfobiales_O	Thermodesulfobiales (O)
Thermodesulfobiaceae_F	Thermodesulfobiaceae (F) NF=0.8
Thermodesulfobium_G	Thermodesulfobium (G) NF=0.8
Thermosulfidibacterota_P	Thermosulfidibacterota (P)
Thermosulfidibacteria_C	Thermosulfidibacteria (C)
Thermosulfidibacterales_O	Thermosulfidibacterales (O)
Thermosulfidibacteraceae_F	Thermosulfidibacteraceae (F)
Thermosulfidibacter_G	Thermosulfidibacter (G) NF=4.5
Bacillati_K	Bacillati (K)
Bacillota_P	Bacillota (P) NF=3.5
Bacilli_C	Bacilli (C)
Lactobacillales_O	Lactobacillales (O)
Streptococcaceae_F	Streptococcaceae (F) NF=2.3
Streptococcus_G	Streptococcus (G) NF=2.2
Lactococcus_G	Lactococcus (G) NF=3.1
Lactovum_G	Lactovum (G) NF=5.5
Floricoccus_G	Floricoccus (G) NF=2.0
Enterococcaceae_F	Enterococcaceae (F) NF=0.9
Enterococcus_G	Enterococcus (G) NF=1.0
Vagococcus_G	Vagococcus (G) NF=0.8
Tetragenococcus_G	Tetragenococcus (G) NF=0.8
Melissococcus_G	Melissococcus (G) NF=0.5
Bavariicoccus_G	Bavariicoccus (G) NF=1.0
Catellicoccus_G	Catellicoccus (G) NF=5.0
Pilibacter_G	Pilibacter (G) NF=5.0
Lactobacillaceae_F	Lactobacillaceae (F) NF=1.9
Lactobacillus_G	Lactobacillus (G) NF=4.1
Ligilactobacillus_G	Ligilactobacillus (G) NF=1.8
Limosilactobacillus_G	Limosilactobacillus (G) NF=2.2
Lactiplantibacillus_G	Lactiplantibacillus (G) NF=0.6
Lacticaseibacillus_G	Lacticaseibacillus (G) NF=0.5
Leuconostoc_G	Leuconostoc (G) NF=2.4
Pediococcus_G	Pediococcus (G) NF=4.2
Weissella_G	Weissella (G) NF=3.0
Oenococcus_G	Oenococcus (G) NF=0.9
Latilactobacillus_G	Latilactobacillus (G) NF=3.0
Levilactobacillus_G	Levilactobacillus (G) NF=0.1
Lentilactobacillus_G	Lentilactobacillus (G) NF=0.3
Apilactobacillus_G	Apilactobacillus (G) NF=0.4
Liquorilactobacillus_G	Liquorilactobacillus (G) NF=0.5
Companilactobacillus_G	Companilactobacillus (G) NF=0.1
Fructilactobacillus_G	Fructilactobacillus (G) NF=0.4
Fructobacillus_G	Fructobacillus (G) NF=0.6
Secundilactobacillus_G	Secundilactobacillus (G) NF=0.2
Loigolactobacillus_G	Loigolactobacillus (G) NF=1.2
Schleiferilactobacillus_G	Schleiferilactobacillus (G) NF=0.3
Bombilactobacillus_G	Bombilactobacillus (G) NF=0.9
Dellaglioa_G	Dellaglioa (G) NF=0.3
Paucilactobacillus_G	Paucilactobacillus (G) NF=0.2
Amylolactobacillus_G	Amylolactobacillus (G) NF=1.0
Carnobacteriaceae_F	Carnobacteriaceae (F) NF=2.3
Carnobacterium_G	Carnobacterium (G) NF=0.9
Jeotgalibaca_G	Jeotgalibaca (G) NF=0.9
Granulicatella_G	Granulicatella (G) NF=3.3
Trichococcus_G	Trichococcus (G) NF=2.1
Dolosigranulum_G	Dolosigranulum (G) NF=23.0
Alkalibacterium_G	Alkalibacterium (G) NF=1.2
Marinilactibacillus_G	Marinilactibacillus (G) NF=1.4
Atopostipes_G	Atopostipes (G) NF=8.0
Desemzia_G	Desemzia (G) NF=1.2
Alloiococcus_G	Alloiococcus (G) NF=4.5
Atopococcus_G	Atopococcus (G) NF=2.7
Pisciglobus_G	Pisciglobus (G) NF=2.0
Atopobacter_G	Atopobacter (G) NF=0.5
Isobaculum_G	Isobaculum (G) NF=1.0
Lacticigenium_G	Lacticigenium (G) NF=4.0
Allofustis_G	Allofustis (G) NF=2.0
Aerococcaceae_F	Aerococcaceae (F) NF=1.2
Aerococcus_G	Aerococcus (G) NF=1.1
Abiotrophia_G	Abiotrophia (G) NF=5.2
Facklamia_G	Facklamia (G) NF=2.4
Globicatella_G	Globicatella (G) NF=1.8
Ignavigranum_G	Ignavigranum (G) NF=10.0
Dolosicoccus_G	Dolosicoccus (G) NF=1.0
Lactobacillales_incertae_sedis_N	Lactobacillales incertae sedis (N)
Chungangia_G	Chungangia (G) NF=1.0
Bacillales_O	Bacillales (O)
Staphylococcaceae_F	Staphylococcaceae (F) NF=1.1
Staphylococcus_G	Staphylococcus (G) NF=1.3
Macrococcus_G	Macrococcus (G) NF=0.5
Salinicoccus_G	Salinicoccus (G) NF=1.0
Jeotgalicoccus_G	Jeotgalicoccus (G) NF=1.1
Nosocomiicoccus_G	Nosocomiicoccus (G) NF=0.7
Aliicoccus_G	Aliicoccus (G) NF=1.0
Listeriaceae_F	Listeriaceae (F) NF=0.7
Listeria_G	Listeria (G) NF=0.6
Brochothrix_G	Brochothrix (G) NF=2.3
Bacillaceae_F	Bacillaceae (F) NF=1.7
Lysinibacillus_G	Lysinibacillus (G) NF=1.4
Virgibacillus_G	Virgibacillus (G) NF=1.7
Oceanobacillus_G	Oceanobacillus (G) NF=1.1
Halobacillus_G	Halobacillus (G) NF=0.9
Psychrobacillus_G	Psychrobacillus (G) NF=0.2
Terribacillus_G	Terribacillus (G) NF=0.7
Aeribacillus_G	Aeribacillus (G) NF=0.5
Gracilibacillus_G	Gracilibacillus (G) NF=0.7
Lentibacillus_G	Lentibacillus (G) NF=0.7
Caldibacillus_G	Caldibacillus (G) NF=1.5
Pseudogracilibacillus_G	Pseudogracilibacillus (G) NF=1.5
Domibacillus_G	Domibacillus (G) NF=0.6
Ornithinibacillus_G	Ornithinibacillus (G) NF=0.9
Pontibacillus_G	Pontibacillus (G) NF=1.0
Pseudobacillus_G	Pseudobacillus (G) NF=0.2
Paraliobacillus_G	Paraliobacillus (G) NF=1.1
Anaerobacillus_G	Anaerobacillus (G) NF=2.3
Salipaludibacillus_G	Salipaludibacillus (G) NF=1.5
Thalassobacillus_G	Thalassobacillus (G) NF=1.0
Alkalibacillus_G	Alkalibacillus (G) NF=0.9
Allobacillus_G	Allobacillus (G) NF=0.6
Salimicrobium_G	Salimicrobium (G) NF=0.9
Amphibacillus_G	Amphibacillus (G) NF=1.1
Marinococcus_G	Marinococcus (G) NF=4.4
Aquibacillus_G	Aquibacillus (G) NF=0.6
Alkalicoccus_G	Alkalicoccus (G) NF=0.3
Halolactibacillus_G	Halolactibacillus (G) NF=1.8
Caldalkalibacillus_G	Caldalkalibacillus (G) NF=1.4
Salibacterium_G	Salibacterium (G) NF=0.6
Tepidibacillus_G	Tepidibacillus (G) NF=0.6
Sediminibacillus_G	Sediminibacillus (G) NF=0.7
Alteribacillus_G	Alteribacillus (G) NF=0.7
Salisediminibacterium_G	Salisediminibacterium (G) NF=0.3
Salirhabdus_G	Salirhabdus (G) NF=1.0
Terrilactibacillus_G	Terrilactibacillus (G) NF=0.3
Piscibacillus_G	Piscibacillus (G) NF=1.5
Calditerricola_G	Calditerricola (G) NF=3.5
Cerasibacillus_G	Cerasibacillus (G) NF=1.3
Salinibacillus_G	Salinibacillus (G) NF=1.0
Paucisalibacillus_G	Paucisalibacillus (G) NF=1.0
Salsuginibacillus_G	Salsuginibacillus (G) NF=1.5
Halalkalibacillus_G	Halalkalibacillus (G) NF=1.0
Falsibacillus_G	Falsibacillus (G) NF=1.0
Tenuibacillus_G	Tenuibacillus (G) NF=1.0
Microaerobacter_G	Microaerobacter (G) NF=1.0
Pelagirhabdus_G	Pelagirhabdus (G) NF=1.0
Compostibacillus_G	Compostibacillus (G) NF=1.0
Vulcanibacillus_G	Vulcanibacillus (G) NF=20.0
Aureibacillus_G	Aureibacillus (G) NF=2.0
Melghiribacillus_G	Melghiribacillus (G) NF=2.0
Saliterribacillus_G	Saliterribacillus (G) NF=2.0
Aquisalibacillus_G	Aquisalibacillus (G) NF=1.0
Natribacillus_G	Natribacillus (G) NF=3.0
Streptohalobacillus_G	Streptohalobacillus (G) NF=1.0
Desertibacillus_G	Desertibacillus (G) NF=1.0
Natronobacillus_G	Natronobacillus (G) NF=1.0
Filobacillus_G	Filobacillus (G) NF=2.0
Paenibacillaceae_F	Paenibacillaceae (F) NF=1.1
Paenibacillus_G	Paenibacillus (G) NF=1.0
Brevibacillus_G	Brevibacillus (G) NF=1.3
Cohnella_G	Cohnella (G) NF=1.8
Aneurinibacillus_group_N	Aneurinibacillus group (N)
Aneurinibacillus_G	Aneurinibacillus (G) NF=1.9
Ammoniphilus_G	Ammoniphilus (G) NF=1.0
Saccharibacillus_G	Saccharibacillus (G) NF=0.5
Gorillibacterium_G	Gorillibacterium (G) NF=0.5
Fontibacillus_G	Fontibacillus (G) NF=0.8
Thermobacillus_G	Thermobacillus (G) NF=14.8
Marinicrinis_G	Marinicrinis (G) NF=1.0
Xylanibacillus_G	Xylanibacillus (G) NF=7.0
Caryophanaceae_F	Caryophanaceae (F) NF=1.1
Sporosarcina_G	Sporosarcina (G) NF=0.8
Solibacillus_G	Solibacillus (G) NF=1.5
Kurthia_G	Kurthia (G) NF=1.2
Ureibacillus_G	Ureibacillus (G) NF=0.8
Paenisporosarcina_G	Paenisporosarcina (G) NF=0.8
Rummeliibacillus_G	Rummeliibacillus (G) NF=0.9
Jeotgalibacillus_G	Jeotgalibacillus (G) NF=0.3
Planomicrobium_G	Planomicrobium (G) NF=4.4
Viridibacillus_G	Viridibacillus (G) NF=0.3
Bhargavaea_G	Bhargavaea (G) NF=1.3
Savagea_G	Savagea (G) NF=0.7
Chryseomicrobium_G	Chryseomicrobium (G) NF=2.2
Caryophanon_G	Caryophanon (G) NF=1.3
Alicyclobacillaceae_F	Alicyclobacillaceae (F) NF=3.1
Alicyclobacillus_G	Alicyclobacillus (G) NF=1.9
Tumebacillus_G	Tumebacillus (G) NF=8.2
Kyrpidia_G	Kyrpidia (G) NF=1.3
Effusibacillus_G	Effusibacillus (G) NF=3.2
Acidibacillus_G	Acidibacillus (G) NF=27.0
Thermoactinomycetaceae_F	Thermoactinomycetaceae (F) NF=1.8
Thermoactinomyces_G	Thermoactinomyces (G) NF=0.6
Laceyella_G	Laceyella (G) NF=1.2
Kroppenstedtia_G	Kroppenstedtia (G) NF=1.4
Planifilum_G	Planifilum (G) NF=5.0
Melghirimyces_G	Melghirimyces (G) NF=1.7
Novibacillus_G	Novibacillus (G) NF=4.0
Desmospora_G	Desmospora (G) NF=1.0
Polycladomyces_G	Polycladomyces (G) NF=0.3
Shimazuella_G	Shimazuella (G) NF=3.0
Risungbinella_G	Risungbinella (G) NF=1.0
Lihuaxuella_G	Lihuaxuella (G) NF=1.0
Thermoflavimicrobium_G	Thermoflavimicrobium (G) NF=3.5
Marininema_G	Marininema (G) NF=0.5
Hazenella_G	Hazenella (G) NF=1.0
Marinithermofilum_G	Marinithermofilum (G) NF=1.0
Salinithrix_G	Salinithrix (G) NF=1.0
Baia_G	Baia (G) NF=3.0
Mechercharimyces_G	Mechercharimyces (G) NF=1.0
Seinonella_G	Seinonella (G) NF=2.0
Sporolactobacillaceae_F	Sporolactobacillaceae (F) NF=1.0
Sporolactobacillus_G	Sporolactobacillus (G) NF=0.9
Scopulibacillus_G	Scopulibacillus (G) NF=0.7
Pullulanibacillus_G	Pullulanibacillus (G) NF=2.3
Tuberibacillus_G	Tuberibacillus (G) NF=1.5
Sinobaca_G	Sinobaca (G) NF=1.0
Pasteuriaceae_F	Pasteuriaceae (F) NF=9.5
Pasteuria_G	Pasteuria (G) NF=9.5
Bacillales_incertae_sedis_N	Bacillales incertae sedis (N)
Exiguobacterium_G	Exiguobacterium (G) NF=0.7
Hydrogenibacillus_G	Hydrogenibacillus (G) NF=1.3
Brockia_G	Brockia (G) NF=7.0
Thermicanus_G	Thermicanus (G) NF=5.5
Geomicrobium_G	Geomicrobium (G) NF=1.0
Anoxybacillaceae_F	Anoxybacillaceae (F)
Geobacillus_G	Geobacillus (G) NF=1.6
Anoxybacillus_G	Anoxybacillus (G) NF=3.3
Parageobacillus_G	Parageobacillus (G) NF=1.9
Saccharococcus_G	Saccharococcus (G) NF=0.3
Thermolongibacillus_G	Thermolongibacillus (G) NF=2.0
Gemellaceae_F	Gemellaceae (F)
Gemella_G	Gemella (G) NF=6.9
Fictibacillaceae_F	Fictibacillaceae (F)
Fictibacillus_G	Fictibacillus (G) NF=0.7
Abyssicoccaceae_F	Abyssicoccaceae (F)
Abyssicoccus_G	Abyssicoccus (G) NF=1.0
Clostridia_C	Clostridia (C)
Lachnospirales_O	Lachnospirales (O)
Lachnospiraceae_F	Lachnospiraceae (F) NF=8.5
Acetatifactor_G	Acetatifactor (G) NF=3.0
Blautia_G	Blautia (G) NF=6.9
Dorea_G	Dorea (G) NF=4.7
Roseburia_G	Roseburia (G) NF=14.2
Agathobacter_G	Agathobacter (G) NF=76.8
Coprococcus_G	Coprococcus (G) NF=2.9
Lachnospira_G	Lachnospira (G) NF=2.9
Hungatella_G	Hungatella (G) NF=1.7
Lachnoclostridium_G	Lachnoclostridium (G) NF=9.8
Anaerostipes_G	Anaerostipes (G) NF=9.6
Fusicatenibacter_G	Fusicatenibacter (G) NF=17.2
Butyrivibrio_G	Butyrivibrio (G) NF=3.3
Oribacterium_G	Oribacterium (G) NF=4.9
Eisenbergiella_G	Eisenbergiella (G) NF=2.9
Pseudobutyrivibrio_G	Pseudobutyrivibrio (G) NF=1.7
Lachnobacterium_G	Lachnobacterium (G) NF=1.0
Sellimonas_G	Sellimonas (G) NF=4.3
Lachnoanaerobaculum_G	Lachnoanaerobaculum (G) NF=2.3
Faecalicatena_G	Faecalicatena (G) NF=0.3
Tyzzerella_G	Tyzzerella (G) NF=33.1
Stomatobaculum_G	Stomatobaculum (G) NF=1.2
Anaerocolumna_G	Anaerocolumna (G) NF=3.1
Marvinbryantia_G	Marvinbryantia (G) NF=51.3
Frisingicoccus_G	Frisingicoccus (G) NF=10.5
Robinsoniella_G	Robinsoniella (G) NF=3.4
Johnsonella_G	Johnsonella (G) NF=5.0
Herbinix_G	Herbinix (G) NF=5.0
Niameybacter_G	Niameybacter (G) NF=0.2
Lachnotalea_G	Lachnotalea (G) NF=1.5
Catonella_G	Catonella (G) NF=7.2
Parasporobacterium_G	Parasporobacterium (G) NF=0.3
Shuttleworthella_G	Shuttleworthella (G) NF=14.2
Anaerosporobacter_G	Anaerosporobacter (G) NF=10.5
Mobilitalea_G	Mobilitalea (G) NF=5.5
Catenibacillus_G	Catenibacillus (G) NF=1.7
Cuneatibacter_G	Cuneatibacter (G) NF=0.2
Hespellia_G	Hespellia (G) NF=2.0
Acetitomaculum_G	Acetitomaculum (G) NF=60.5
Mobilisporobacter_G	Mobilisporobacter (G) NF=0.5
Moryella_G	Moryella (G) NF=49.0
Anaerobium_G	Anaerobium (G) NF=3.0
Defluviitaleaceae_F	Defluviitaleaceae (F) NF=27.8
Defluviitalea_G	Defluviitalea (G) NF=10.0
Cellulosilyticaceae_F	Cellulosilyticaceae (F) NF=3.6
Cellulosilyticum_G	Cellulosilyticum (G) NF=4.5
Vallitaleaceae_F	Vallitaleaceae (F) NF=1.3
Vallitalea_G	Vallitalea (G) NF=1.7
Anaerotignaceae_F	Anaerotignaceae (F)
Anaerotignum_G	Anaerotignum (G) NF=0.6
Natranaerovirgaceae_F	Natranaerovirgaceae (F)
Natranaerovirga_G	Natranaerovirga (G) NF=3.5
Eubacteriales_O	Eubacteriales (O)
Oscillospiraceae_F	Oscillospiraceae (F) NF=5.5
Ruminococcus_G	Ruminococcus (G) NF=3.6
Faecalibacterium_G	Faecalibacterium (G) NF=9.5
Oscillibacter_G	Oscillibacter (G) NF=6.7
Angelakisella_G	Angelakisella (G) NF=1.3
Anaerotruncus_G	Anaerotruncus (G) NF=2.2
Subdoligranulum_G	Subdoligranulum (G) NF=35.2
Flavonifractor_G	Flavonifractor (G) NF=1.0
Ruthenibacterium_G	Ruthenibacterium (G) NF=0.2
Ruminiclostridium_G	Ruminiclostridium (G) NF=10.4
Pseudoflavonifractor_G	Pseudoflavonifractor (G) NF=0.1
Saccharofermentans_G	Saccharofermentans (G) NF=63.0
Allofournierella_G	Allofournierella (G) NF=1.5
Acetivibrio_G	Acetivibrio (G) NF=2.5
Mageeibacillus_G	Mageeibacillus (G) NF=0.2
Hydrogenoanaerobacterium_G	Hydrogenoanaerobacterium (G) NF=8.0
Anaerofilum_G	Anaerofilum (G) NF=1.8
Thermoclostridium_G	Thermoclostridium (G) NF=4.0
Pygmaiobacter_G	Pygmaiobacter (G) NF=2.8
Fastidiosipila_G	Fastidiosipila (G) NF=48.7
Ethanoligenens_G	Ethanoligenens (G) NF=3.3
Sporobacter_G	Sporobacter (G) NF=2.5
Papillibacter_G	Papillibacter (G) NF=20.0
Acetanaerobacterium_G	Acetanaerobacterium (G) NF=3.7
Pseudobacteroides_G	Pseudobacteroides (G) NF=3.5
Harryflintia_G	Harryflintia (G) NF=3.5
Anaerobacterium_G	Anaerobacterium (G) NF=17.0
Clostridiaceae_F	Clostridiaceae (F) NF=2.3
Clostridium_G	Clostridium (G) NF=1.8
Sarcina_G	Sarcina (G) NF=9.4
Proteiniclasticum_G	Proteiniclasticum (G) NF=4.9
Caloramator_G	Caloramator (G) NF=3.0
Lactonifactor_G	Lactonifactor (G) NF=0.1
Mordavella_G	Mordavella (G) NF=1.0
Hathewaya_G	Hathewaya (G) NF=0.5
Haloimpatiens_G	Haloimpatiens (G) NF=1.2
Crassaminicella_G	Crassaminicella (G) NF=1.3
Youngiibacter_G	Youngiibacter (G) NF=1.3
Anoxynatronum_G	Anoxynatronum (G) NF=6.0
Oceanirhabdus_G	Oceanirhabdus (G) NF=1.5
Thermobrachium_G	Thermobrachium (G) NF=15.0
Oxobacter_G	Oxobacter (G) NF=29.0
Fervidicella_G	Fervidicella (G) NF=2.0
Fonticella_G	Fonticella (G) NF=52.0
Eubacteriaceae_F	Eubacteriaceae (F) NF=1.2
Eubacterium_G	Eubacterium (G) NF=0.7
Acetobacterium_G	Acetobacterium (G) NF=2.1
Anaerofustis_G	Anaerofustis (G) NF=8.2
Pseudoramibacter_G	Pseudoramibacter (G) NF=1.7
Alkalibaculum_G	Alkalibaculum (G) NF=0.5
Garciella_G	Garciella (G) NF=2.0
Alkalibacter_G	Alkalibacter (G) NF=2.8
Irregularibacter_G	Irregularibacter (G) NF=11.0
Peptococcaceae_F	Peptococcaceae (F) NF=7.8
Peptococcus_G	Peptococcus (G) NF=8.5
Desulfofundulus_G	Desulfofundulus (G) NF=2.1
Dehalobacterium_G	Dehalobacterium (G) NF=9.5
Desulfonispora_G	Desulfonispora (G) NF=2.0
Desulfofarcimen_G	Desulfofarcimen (G) NF=249.0
Syntrophomonadaceae_F	Syntrophomonadaceae (F) NF=5.7
Syntrophomonas_G	Syntrophomonas (G) NF=3.4
Syntrophothermus_G	Syntrophothermus (G) NF=2.5
Thermosyntropha_G	Thermosyntropha (G) NF=2.2
Thermohydrogenium_G	Thermohydrogenium (G) NF=1.0
Desulfitobacteriaceae_F	Desulfitobacteriaceae (F) NF=4.7
Desulfosporosinus_G	Desulfosporosinus (G) NF=6.5
Desulfitobacterium_G	Desulfitobacterium (G) NF=4.2
Dehalobacter_G	Dehalobacter (G) NF=1.6
Syntrophobotulus_G	Syntrophobotulus (G) NF=2.0
Desulfotomaculaceae_F	Desulfotomaculaceae (F) NF=5.0
Pelotomaculum_G	Pelotomaculum (G) NF=2.7
Desulfotomaculum_G	Desulfotomaculum (G) NF=4.7
Heliobacteriaceae_F	Heliobacteriaceae (F) NF=2.3
Heliobacterium_G	Heliobacterium (G) NF=1.3
Heliorestis_G	Heliorestis (G) NF=1.5
Heliophilum_G	Heliophilum (G) NF=1.0
Symbiobacteriaceae_F	Symbiobacteriaceae (F) NF=37.2
Symbiobacterium_G	Symbiobacterium (G) NF=8.7
Caldinitratiruptor_G	Caldinitratiruptor (G) NF=4.0
Gracilibacteraceae_F	Gracilibacteraceae (F) NF=13.3
Gracilibacter_G	Gracilibacter (G) NF=8.4
Desulfallaceae_F	Desulfallaceae (F) NF=1.8
Desulfallas_G	Desulfallas (G) NF=5.5
Sporotomaculum_G	Sporotomaculum (G) NF=3.0
