node,rank,num_genera,total_priority_score,avg_priority_score,total_otu,path,top_genera,all_genera
Coccomyxidae,family,1,11.51,11.51,20,Myxosporea > Bivalvulida > Variisporina,Coccomyxa(11.5),Coccomyxa
Stylocephalidae,family,1,11.51,11.51,20,Conoidasida > Gregarinasina > Eugregarinorida,Xiphocephalus(11.5),Xiphocephalus
Spironemidae,family,1,11.51,11.51,20,cellular organisms > Eukaryota > Hemimastigophora,Hemimastix(11.5),Hemimastix
Nibbleridae,family,2,11.51,5.75,3,Nibbleridia > Nibbleridea > Nibbleridida,"Nibbleromonas(6.5), Ubysseya(5.0)",Nibbleromonas;Ubysseya
Diptilomiopidae,family,1,11.39,11.39,19,Prostigmata > Eupodina > Eriophyoidea,Diptilomiopus(11.4),Diptilomiopus
Xcellidae,family,1,11.39,11.39,19,Perkinsozoa > Perkinsea > Perkinsida,Gadixcellia(11.4),Gadixcellia
Apocrita,suborder,2,11.32,5.66,240,Neoptera > Endopterygota > Hymenoptera,"Apis(8.8), Venturia(2.6)",Apis;Venturia
Lagynidae,family,1,11.28,11.28,18,Retaria > Foraminifera > Allogromida,Nemogullmia(11.3),Nemogullmia
Neovahlkampfiidae,family,1,11.05,11.05,211,Discoba > Heterolobosea > Tetramitia,Neovahlkampfia(11.1),Neovahlkampfia
Thalassiosirales,order,2,11.05,5.52,362,Bacillariophyta > Coscinodiscophyceae > Thalassiosirophycidae,"Thalassiosira(7.8), Thalassiosirales.U.genus(3.2)",Thalassiosira;Thalassiosirales.U.genus
Dicranophoridae,family,1,11.02,11.02,16,Monogononta > Pseudotrocha > Ploima,Encentrum(11.0),Encentrum
Amphitraemidae,family,1,11.02,11.02,16,Bigyra > Labyrinthulomycetes > Amphitremida,Amphitrema(11.0),Amphitrema
Paracalanidae,family,1,10.88,10.88,15,Neocopepoda > Gymnoplea > Calanoida,Paracalanus(10.9),Paracalanus
Bathycoccaceae,family,2,10.84,5.42,308,Chlorophyta > Mamiellophyceae > Mamiellales,"Ostreococcus(8.3), Bathycoccus(2.6)",Ostreococcus;Bathycoccus
Diaptomidae,family,1,10.73,10.73,14,Neocopepoda > Gymnoplea > Calanoida,Eudiaptomus(10.7),Eudiaptomus
Plagiostomidae,family,1,10.4,10.4,12,Rhabditophora > Prolecithophora > Separata,Plagiostomum(10.4),Plagiostomum
Leidyanidae,family,2,10.38,5.19,76,Conoidasida > Gregarinasina > Eugregarinorida,"Leidyana2(8.2), Leidyana1(2.2)",Leidyana2;Leidyana1
